nome_giocatore,numero_giocatore,squadra,ruolo,altezza,minuti,FALLI_C,FALLI_S,T2_R,T2_T,T2_PER,T3_R,T3_T,T3_PER,T1_R,T1_T,T1_PER,RIM_O,RIM_D,RIM_T,STOP_D,STOP_S,PALLE_P,PALLE_R,ASS
maximilian ladurner,23,Dolomiti Energia Trentino,Centro,207,6.9,1.2,0.1,1.1,2.6,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.2,0.3,0.3,0.3,0.0,0.8
doron lamb,,Happy Casa Brindisi,Guardia,193,26.2,1.3,2.5,2.3,5.3,42.2,1.5,4.7,32.1,2.3,2.8,81.8,0.2,1.1,1.3,0.1,0.4,1.2,1.8,7.5
tommaso laquintana,24,Germani Brescia,Play,188,9.4,1.9,0.7,1.1,2.9,40.0,0.0,1.1,0.0,0.4,0.5,71.4,0.4,1.1,1.4,0.0,0.1,1.1,1.2,0.1
alessandro lever,25,Pallacanestro Trieste,Ala,208,16.1,1.9,1.0,1.4,2.6,51.7,0.6,1.8,35.0,1.1,1.1,100.0,1.1,1.9,3.0,0.1,0.1,0.9,0.6,5.5
matteo librizzi,13,Openjobmetis Varese,Play,180,6.8,1.0,0.4,0.3,0.5,50.0,0.3,0.6,42.9,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.2,0.8,0.4,0.0
trent lockett,52,Dolomiti Energia Trentino,Guardia,196,23.8,2.3,1.9,1.7,3.8,44.6,0.6,1.8,36.7,0.7,1.2,60.0,1.3,2.3,3.6,0.1,0.6,1.5,0.9,4.9
david logan,40,Givova Scafati,Play,185,30.0,2.3,2.6,2.7,6.6,40.5,3.1,8.2,37.8,1.8,2.3,77.8,0.3,1.6,1.9,0.3,0.5,1.6,3.8,12.5
gabriel lundberg,19,Virtus Segafredo Bologna,Guardia,193,22.2,2.0,2.4,2.3,4.0,56.8,1.0,2.7,36.7,1.5,2.0,77.3,0.5,2.5,3.1,0.1,0.2,1.6,1.7,9.5
timothe luwawu cabarrot,2,EA7 Emporio Armani Milano,Guardia,201,22.4,2.8,3.6,2.4,4.8,50.0,1.3,3.1,41.9,3.3,3.6,91.7,0.5,3.6,4.1,0.0,0.5,1.7,1.8,13.0
jp macura,55,Bertram Yachts Derthona Tortona,Guardia,196,22.6,2.8,2.8,2.3,4.8,48.1,2.1,5.9,34.7,2.1,2.3,91.9,0.9,2.4,3.3,0.3,0.3,1.2,1.6,11.3
niccolo malaventura,9,Happy Casa Brindisi,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stefano manfredi,8,Happy Casa Brindisi,,0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
niccolo mannion,1,Virtus Segafredo Bologna,Play,190,22.2,1.9,2.3,2.2,4.0,54.7,1.3,3.9,33.3,2.1,2.5,82.5,0.4,1.5,1.9,0.0,0.5,1.9,3.4,9.5
lucio martini,2,Virtus Segafredo Bologna,,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0
bruno mascolo,14,Happy Casa Brindisi,Play,190,25.5,1.9,2.2,3.0,6.9,43.2,0.5,1.8,26.7,1.1,1.9,57.6,0.5,2.6,3.1,0.1,0.0,1.3,3.3,8.9
c j massinburg,5,Germani Brescia,Ala,206,19.3,2.0,2.7,2.1,5.1,40.7,1.2,3.6,33.3,1.9,2.5,77.5,1.2,1.4,2.6,0.0,0.3,1.4,1.9,8.2
antonio matera,12,GeVi Napoli Basket,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valerio mazzola,22,Carpegna Prosciutto Pesaro,Ala,205,19.8,2.8,0.8,1.3,2.0,66.7,1.2,2.0,58.3,0.4,0.4,100.0,0.7,2.9,3.6,0.0,0.2,0.8,0.8,7.4
nicolo melli,9,EA7 Emporio Armani Milano,Ala,206,23.5,3.0,3.6,2.5,3.8,64.9,1.1,2.3,45.7,1.9,2.4,77.8,1.4,4.5,5.9,0.4,0.1,1.8,1.5,14.3
leo menalo,24,Virtus Segafredo Bologna,Ala,208,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.0
andrea mezzanotte,24,Happy Casa Brindisi,Ala,207,16.8,1.4,0.7,0.4,1.4,26.1,1.1,2.5,45.0,0.6,0.7,81.8,0.6,1.1,1.6,0.3,0.2,0.2,0.4,3.6
fabio mian,9,Givova Scafati,,0,10.8,2.2,0.8,0.4,1.0,40.0,0.6,1.2,50.0,0.2,0.4,50.0,0.4,1.0,1.4,0.0,0.0,0.0,1.0,2.6
samuele miccoli,6,EA7 Emporio Armani Milano,,0,1.0,0.0,0.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
david michineau,6,GeVi Napoli Basket,Play,192,29.2,2.8,3.0,3.6,7.7,46.6,0.6,2.8,22.9,1.9,2.6,72.7,0.6,2.8,3.5,0.3,0.9,2.5,4.0,9.4
jordan mickey,25,Virtus Segafredo Bologna,Ala,203,21.4,1.9,2.4,3.3,5.4,60.5,0.7,1.7,41.7,2.0,2.8,71.8,0.9,3.4,4.3,0.6,0.2,1.4,1.0,12.4
nazareth mitrou long,3,EA7 Emporio Armani Milano,Play,193,21.4,2.4,2.3,1.0,2.4,41.4,1.9,5.2,37.1,1.4,1.7,85.0,0.4,2.3,2.7,0.0,0.2,1.2,2.9,8.9
diego monaldi,32,Givova Scafati,Play,185,13.4,1.6,0.6,0.1,0.5,25.0,1.0,2.4,42.1,0.0,0.0,0.0,0.1,0.9,1.0,0.1,0.0,0.6,1.3,2.6
riccardo moraschini,9,Umana Reyer Venezia,Guardia,194,18.4,0.7,2.4,1.0,2.8,35.7,1.0,2.8,35.7,1.7,2.3,73.9,0.3,2.6,2.9,0.1,0.2,0.8,1.4,8.2
davide moretti,11,Carpegna Prosciutto Pesaro,Guardia,190,25.4,3.3,3.4,2.2,4.7,47.5,1.7,4.5,38.2,2.8,3.1,88.7,0.2,1.2,1.4,0.1,0.1,1.9,2.9,10.5
richard ygor morina,4,Dolomiti Energia Trentino,,0,3.0,2.7,6.0,0.0,1.3,4.3,3.3,1.3,2.3,3.7,0.0,0.0,2.0,0.7,2.0,11.3,0.952,0.7,0.0,0.0
christopher mortellaro,1,Bertram Yachts Derthona Tortona,Centro,208,2.5,0.5,0.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0
emanuele morvillo,45,Givova Scafati,,0,3.7,3.0,7.7,0.0,0.0,0.0,2.3,1.0,5.0,6.0,0.0,1.3,4.7,1.3,3.3,6.7,0.567,0.0,0.0,0.0
david moss,34,Germani Brescia,Ala,196,13.0,1.8,0.3,0.5,1.0,53.3,0.3,0.9,35.7,0.3,0.5,71.4,0.6,1.1,1.7,0.0,0.0,0.3,0.9,2.6
aleksej nikolic,6,Germani Brescia,Play,191,18.5,2.5,2.8,1.1,2.4,46.2,1.0,3.5,28.2,1.2,1.5,76.5,0.2,1.7,1.9,0.0,0.1,1.5,2.6,6.1
tai odiase,21,Germani Brescia,Centro,206,20.6,1.7,1.9,3.7,5.8,64.3,0.0,0.0,0.0,1.2,1.7,69.0,1.8,2.3,4.1,0.9,0.2,1.1,0.3,10.7
semi ojeleye,37,Virtus Segafredo Bologna,Ala,201,20.4,0.7,3.0,1.9,3.9,48.1,1.4,2.0,71.4,2.1,2.9,75.0,1.1,3.7,4.9,0.1,0.4,1.3,0.7,13.7
stanley okoye,5,Givova Scafati,Ala,198,30.1,3.1,2.4,2.5,4.6,54.1,3.4,7.3,46.6,2.1,2.6,81.0,1.4,4.5,5.9,0.1,0.5,1.5,1.4,16.4
osvaldas olisevicius,31,UNAHOTELS Reggio Emilia,Ala,198,24.1,2.3,2.8,2.4,4.4,55.7,1.4,4.4,31.4,2.9,3.6,79.3,1.5,2.5,4.0,0.1,0.3,2.3,0.9,10.2
tariq owens,41,Openjobmetis Varese,Centro,206,23.0,2.1,1.8,3.4,5.3,65.5,0.1,0.8,15.4,1.9,2.3,83.8,2.0,4.6,6.6,1.1,0.3,1.5,0.9,13.1
a j pacher,2,Pallacanestro Trieste,Ala,208,27.1,3.0,2.3,1.5,3.8,40.0,0.5,2.0,26.5,1.6,2.1,80.0,1.1,5.1,6.2,0.5,0.4,0.9,1.3,8.7
alessandro pajola,6,Virtus Segafredo Bologna,Play,194,18.3,2.3,0.9,1.2,2.2,53.8,0.7,2.0,33.3,0.8,1.2,64.3,0.3,1.3,1.6,0.1,0.1,0.6,2.3,5.2
kevin pangos,5,EA7 Emporio Armani Milano,Play,185,24.1,2.3,3.0,1.6,3.7,42.3,1.9,5.0,37.1,1.6,1.7,91.7,0.4,1.6,2.0,0.0,0.9,2.1,4.1,9.7
jordan parks,2,Umana Reyer Venezia,Ala,201,18.9,2.9,1.6,2.7,5.2,51.6,0.8,2.4,34.5,1.7,1.9,87.0,1.3,2.7,4.0,0.4,0.3,1.3,1.2,8.8
nick perkins,33,Happy Casa Brindisi,Centro,203,27.2,2.6,4.6,5.4,9.8,55.1,0.3,1.7,18.5,3.9,5.6,69.7,2.5,2.9,5.4,0.3,0.4,1.9,1.2,15.2
john petrucelli,11,Germani Brescia,Guardia,193,27.3,3.6,3.8,4.1,6.4,64.7,2.6,4.9,53.8,3.1,3.9,80.6,0.5,2.0,2.5,0.1,0.1,2.5,2.4,18.0
kruize pinkins,12,Givova Scafati,Ala,201,32.7,3.2,3.9,2.9,6.2,47.6,1.5,3.4,45.6,3.2,4.0,79.4,3.1,4.2,7.3,0.2,0.5,1.9,1.6,15.7
stefano piredda,2,Banco di Sardegna Sassari,,0,2.0,3.0,6.7,0.0,1.0,2.0,1.7,1.0,3.0,4.0,0.0,0.3,1.7,1.0,2.3,10.0,0.856,1.7,0.0,0.0
riccardo pisano,1,Banco di Sardegna Sassari,,0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
leon radosevic,43,Bertram Yachts Derthona Tortona,Centro,208,18.8,2.0,1.6,2.3,3.4,67.2,0.4,1.1,36.8,1.1,1.5,76.0,0.8,3.3,4.1,0.2,0.1,1.2,0.9,8.6
jacopo rapetti,10,EA7 Emporio Armani Milano,,0,0.5,1.5,3.5,0.0,0.0,1.0,1.0,1.5,3.0,4.5,0.0,0.0,3.5,0.5,0.5,-1.0,0.393,-2.5,0.0,0.0
tommaso raspino,23,Banco di Sardegna Sassari,Guardia,198,5.8,0.6,0.2,0.3,0.7,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.8,0.9,0.0,0.1,0.3,0.4,0.9
marcquise reed,2,Happy Casa Brindisi,Guardia,191,26.2,2.6,3.5,5.2,9.6,53.7,0.7,2.8,25.0,2.5,3.1,81.1,0.9,3.0,3.9,0.1,0.8,1.4,2.2,13.9
nathan reuvers,3,UNAHOTELS Reggio Emilia,Ala,211,26.2,2.9,2.9,2.9,4.8,59.8,0.9,2.3,38.5,2.0,2.9,69.4,0.9,3.1,4.1,1.7,0.2,0.9,0.8,12.1
justin reyes,12,Openjobmetis Varese,Ala,193,23.1,1.2,2.9,3.3,5.6,60.0,1.1,3.0,37.0,2.4,3.7,66.7,2.4,2.8,5.2,0.0,0.7,1.3,0.8,13.8
giampaolo ricci,17,EA7 Emporio Armani Milano,Centro,202,14.1,1.4,0.4,0.8,1.5,53.8,0.7,1.5,46.2,0.3,0.4,83.3,0.6,1.5,2.1,0.4,0.1,0.7,0.3,4.0
joonas riismaa,25,Happy Casa Brindisi,Guardia,196,13.2,2.1,0.6,0.5,1.3,38.1,0.8,2.1,36.4,0.5,0.7,72.7,0.8,1.2,2.0,0.0,0.1,0.5,0.2,1.8
gerald robinson,4,Banco di Sardegna Sassari,Play,185,28.5,2.4,2.4,3.5,6.4,55.2,1.1,3.4,33.3,1.8,2.2,81.8,0.5,2.4,2.9,0.0,0.6,2.3,5.0,12.9
matteo rolli,7,Pallacanestro Trieste,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colbey ross,4,Openjobmetis Varese,Play,85,29.1,3.2,6.4,4.5,8.1,55.1,1.4,3.6,39.3,4.2,5.6,75.0,0.5,2.9,3.4,0.1,0.6,3.4,6.6,20.6
riccardo rossato,18,Givova Scafati,Guardia,190,19.8,3.1,2.8,1.8,3.4,52.7,1.3,3.8,32.8,1.9,2.2,88.6,1.0,1.7,2.7,0.1,0.4,1.3,0.8,7.3
guido rosselli,20,Tezenis Verona,Ala,198,8.3,1.1,0.3,0.3,0.8,37.5,0.0,0.7,0.0,0.2,0.2,100.0,0.3,0.9,1.2,0.0,0.2,0.7,0.4,-0.1
michele ruzzier,,Pallacanestro Trieste,Play,183,16.7,2.3,2.3,1.3,2.4,55.2,0.4,0.8,50.0,1.8,2.0,91.7,0.3,1.2,1.4,0.0,0.2,1.3,2.7,7.3
pietro sablich,20,Carpegna Prosciutto Pesaro,Ala,0,2.0,2.3,7.3,0.0,0.7,3.0,2.0,2.7,1.7,4.3,0.0,0.3,0.0,1.7,0.3,7.0,0.739,2.0,0.0,0.0
jamarr sanders,42,Tezenis Verona,Guardia,193,26.4,1.7,0.8,1.0,1.9,52.2,1.4,3.3,42.5,1.0,1.1,92.3,0.3,2.6,2.9,0.0,0.1,1.4,2.3,8.1
alvise sarto,3,NutriBullet Treviso Basket,Guardia,200,11.7,2.0,0.2,0.0,0.2,0.0,0.7,1.6,42.9,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.2,0.4,0.4
francesco scandiuzzi,12,NutriBullet Treviso Basket,,0,4.3,1.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,-1.3
jeremy senglin,,UNAHOTELS Reggio Emilia,Play,188,24.0,3.0,2.0,1.0,2.0,50.0,1.5,3.5,42.9,0.5,1.0,50.0,0.0,3.0,3.0,0.0,0.5,0.5,1.0,6.0
luca severini,20,Bertram Yachts Derthona Tortona,Ala,204,19.9,2.1,1.6,0.8,2.2,37.8,1.3,2.8,46.8,1.1,1.2,90.0,1.6,2.8,4.4,0.2,0.2,0.7,0.9,8.3
tornike shengelia,21,Virtus Segafredo Bologna,Centro,206,24.3,2.5,3.4,3.4,6.0,56.3,0.5,1.5,33.3,2.5,3.4,74.1,1.0,3.9,4.9,0.3,0.6,2.3,2.5,12.9
dion sheqiri,15,Pallacanestro Trieste,Centro,210,5.7,4.0,8.7,0.0,1.0,1.7,5.7,4.0,2.7,6.7,0.0,0.0,1.7,1.0,1.3,18.0,1.029,0.7,0.0,0.0
shavon shields,31,EA7 Emporio Armani Milano,Ala,201,26.5,1.5,3.5,2.0,4.5,44.4,0.5,3.0,16.7,0.5,1.5,33.3,0.5,4.5,5.0,0.0,0.0,2.5,4.0,10.0
alessandro simioni,27,NutriBullet Treviso Basket,Centro,206,6.8,0.8,0.4,0.5,0.9,60.0,0.5,1.5,31.2,0.1,0.2,50.0,0.1,1.0,1.1,0.0,0.1,0.1,0.3,1.9
simone sinagra,10,GeVi Napoli Basket,Play,175,2.0,2.0,4.3,0.0,0.3,2.7,3.0,0.7,3.0,3.7,0.0,0.0,2.3,3.7,4.0,11.3,0.705,5.3,0.0,0.0
taylor lynn smith,00,Tezenis Verona,Centro,199,30.3,2.6,2.2,5.2,7.8,66.2,0.0,0.1,0.0,1.1,2.5,45.2,2.6,4.8,7.5,1.2,0.4,2.1,1.8,16.6
paulius sorokas,9,NutriBullet Treviso Basket,Ala,203,26.7,1.9,3.2,2.4,4.4,53.5,1.3,3.4,38.2,2.8,3.3,86.5,1.1,3.6,4.8,0.3,0.1,1.0,2.1,15.3
matteo spagnolo,9,Dolomiti Energia Trentino,Play,195,24.5,1.4,4.3,3.2,8.1,39.3,0.5,1.9,23.8,3.0,3.7,80.5,0.5,2.9,3.5,0.2,0.4,1.7,2.8,12.1
skylar spencer,6,Pallacanestro Trieste,Centro,206,24.6,2.6,2.4,4.1,6.0,67.6,0.0,0.0,0.0,0.8,2.1,38.9,3.4,5.1,8.4,1.3,0.2,1.4,0.5,14.6
marco spissu,0,Umana Reyer Venezia,Play,185,26.6,2.5,2.6,0.6,1.9,33.3,2.4,4.6,50.6,1.8,1.9,93.7,0.4,2.3,2.7,0.1,0.2,1.8,4.0,12.4
umberto stazzonelli,18,Carpegna Prosciutto Pesaro,Guardia,200,1.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,100.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.4
gabriele stefanini,15,UNAHOTELS Reggio Emilia,Play,191,3.1,0.4,0.1,0.1,0.1,100.0,0.3,1.0,28.6,0.1,0.3,50.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.6
deshawn stephens,,Banco di Sardegna Sassari,Ala,203,20.9,3.0,1.1,2.9,4.5,64.0,0.0,0.0,0.0,0.3,0.9,30.0,2.2,3.7,5.9,0.4,0.3,1.4,1.6,9.1
elijah stewart,30,GeVi Napoli Basket,Ala,190,24.1,2.4,2.2,1.3,2.9,42.6,1.4,4.6,30.1,2.6,3.1,82.0,0.4,2.3,2.7,0.5,0.4,1.0,0.7,6.8
julyan stone,00,Givova Scafati,Play,198,30.2,2.8,1.5,1.1,2.7,41.3,1.4,4.0,35.3,0.7,1.0,70.6,0.4,4.8,5.2,0.1,0.1,2.1,7.8,13.7
arturs strautins,12,UNAHOTELS Reggio Emilia,Ala,198,14.8,1.3,1.2,1.1,1.9,57.9,0.7,3.4,20.6,0.8,1.3,61.5,0.4,2.6,3.0,0.2,0.0,0.9,0.4,3.9
matteo tambone,15,Carpegna Prosciutto Pesaro,Guardia,192,24.7,3.3,1.9,1.6,2.4,63.6,1.2,3.7,33.3,0.8,0.9,87.5,0.2,2.1,2.3,0.0,0.2,1.0,2.9,7.4
nicolas tanfoglio,4,Germani Brescia,,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,-3.0
riccardo tavernelli,8,Bertram Yachts Derthona Tortona,Play,188,9.6,1.3,1.1,0.4,0.9,50.0,0.6,1.2,47.1,0.4,0.5,85.7,0.2,0.6,0.9,0.0,0.1,0.4,1.2,3.5
ryan taylor,12,Germani Brescia,Ala,0,14.7,2.3,0.6,0.3,1.1,25.0,0.9,2.6,33.3,1.3,1.4,90.0,0.1,0.4,0.6,0.0,0.6,0.3,0.6,0.6
roman tchintcharauli,38,Givova Scafati,Centro,205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
milos teodosic,44,Virtus Segafredo Bologna,Guardia,195,23.8,2.5,1.8,1.3,2.2,61.5,1.3,3.8,34.8,1.3,1.5,88.9,0.0,1.5,1.5,0.0,0.0,2.0,6.8,10.5
emanuel terry,,Pallacanestro Trieste,Centro,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amedeo tessitori,00,Umana Reyer Venezia,Centro,207,12.5,2.1,2.3,2.8,5.0,56.3,0.3,0.5,50.0,0.9,1.7,55.6,1.5,1.9,3.4,0.3,0.0,1.0,0.6,8.0
deshaun thomas,1,EA7 Emporio Armani Milano,Ala,201,16.4,0.7,1.4,3.0,5.2,57.4,0.4,2.7,16.7,1.2,1.4,84.6,1.1,1.9,3.0,0.1,0.0,1.2,0.6,7.9
trevor thompson,3,Givova Scafati,Centro,212,20.5,3.2,2.6,2.2,4.5,50.0,0.1,0.4,16.7,2.2,3.1,73.1,1.6,5.8,7.4,1.1,0.1,2.1,0.5,10.5
stefano tonut,7,EA7 Emporio Armani Milano,Guardia,194,18.4,1.6,1.2,1.5,2.8,52.8,0.4,1.6,23.8,0.5,0.9,58.3,0.4,1.8,2.2,0.0,0.2,1.2,0.5,3.1
david torresani,4,NutriBullet Treviso Basket,,0,4.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,-0.5
leonardo tote,35,Carpegna Prosciutto Pesaro,Centro,211,15.1,2.8,1.9,2.6,3.9,65.1,0.1,0.2,33.3,1.0,2.1,48.5,1.1,1.3,2.4,0.2,0.3,1.3,0.8,4.8
kaspar treier,9,Banco di Sardegna Sassari,Ala,204,13.7,2.6,1.7,1.1,1.7,66.7,1.0,2.1,47.4,0.9,1.0,88.9,0.7,1.8,2.4,0.2,0.0,1.0,0.8,6.0
liam udom,27,Tezenis Verona,Guardia,199,9.2,1.7,0.8,0.7,1.3,55.6,0.1,0.9,15.4,1.0,1.3,77.8,0.1,0.8,0.9,0.0,0.2,0.5,0.4,1.5
mattia udom,17,Dolomiti Energia Trentino,Ala,200,17.9,3.2,2.1,1.0,1.9,51.6,0.3,1.8,17.2,1.6,2.1,73.5,1.1,2.8,3.8,0.3,0.1,1.2,0.5,4.8
lorenzo uglietti,16,GeVi Napoli Basket,Guardia,192,23.5,2.2,2.7,1.8,3.2,54.9,0.4,1.1,41.2,1.1,1.4,77.3,0.4,3.4,3.8,0.3,0.1,1.0,2.4,10.0
lorenzo vanin,45,Umana Reyer Venezia,,0,0.7,3.7,5.3,0.3,0.0,0.0,1.0,2.3,2.0,4.3,0.0,0.0,0.7,1.0,0.0,8.3,0.906,0.3,0.0,0.0
alessandro vecchi,,UNAHOTELS Reggio Emilia,,0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,1.0,0.3,0.0,-1.3,0.0,-0.7,0.0,0.0
enrico vettori,8,NutriBullet Treviso Basket,Guardia,192,3.5,2.5,5.5,0.0,1.0,5.0,4.5,0.0,2.5,2.5,0.0,0.0,5.0,1.5,1.5,5.0,0.65,-2.0,0.0,0.0
giovanni vildera,14,Pallacanestro Trieste,Centro,205,13.8,2.4,1.2,2.2,3.4,63.8,0.0,0.1,0.0,0.8,1.0,76.5,1.4,1.9,3.3,0.1,0.1,0.8,0.8,5.8
nicolo virginio,18,Openjobmetis Varese,Ala,206,3.8,0.5,0.0,0.2,0.3,50.0,0.2,0.7,25.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.2,0.0,0.2,0.2
riccardo visconti,9,Carpegna Prosciutto Pesaro,Guardia,198,13.9,2.4,2.1,0.8,1.8,45.2,0.9,2.7,32.6,1.4,1.8,80.0,1.0,1.2,2.2,0.1,0.3,0.4,0.5,4.9
michele vitali,13,UNAHOTELS Reggio Emilia,Guardia,196,24.2,1.7,2.8,1.3,2.4,55.2,1.9,3.9,48.9,2.6,2.7,96.9,0.4,2.0,2.4,0.0,0.0,1.5,1.8,12.4
marco vitucci,8,Happy Casa Brindisi,,0,2.5,1.5,3.5,0.0,1.0,3.5,2.5,1.0,3.5,4.5,0.0,0.0,1.5,2.0,1.5,11.0,0.863,2.0,0.0,0.0
johannes voigtmann,77,EA7 Emporio Armani Milano,Centro,211,17.0,1.2,1.1,1.3,2.1,63.2,0.9,2.6,34.8,0.6,0.9,62.5,1.1,3.6,4.7,0.1,0.1,0.7,1.2,8.6
mitchell watt,50,Umana Reyer Venezia,Ala,208,25.2,3.5,3.8,5.8,9.1,63.9,0.1,0.1,50.0,2.8,3.9,71.6,1.8,3.4,5.1,0.8,0.3,2.0,1.4,15.8
kyle weems,34,Virtus Segafredo Bologna,Ala,198,22.1,1.9,1.7,1.9,3.9,49.2,1.3,3.1,40.8,1.6,1.9,83.3,0.5,2.1,2.6,0.1,0.1,0.8,1.1,8.8
jacorey williams,22,GeVi Napoli Basket,Centro,202,29.4,2.4,4.1,6.3,10.4,60.5,0.0,0.0,0.0,1.1,3.5,31.7,2.3,5.6,7.9,0.5,0.4,1.9,1.6,18.0
derek willis,35,Umana Reyer Venezia,Ala,206,24.6,2.1,2.2,2.1,4.1,52.2,1.1,2.6,42.2,1.9,2.1,88.9,1.6,3.8,5.4,0.3,0.1,1.3,1.2,11.8
andriu tomas woldetensae,8,Openjobmetis Varese,Ala,196,26.8,2.8,1.2,0.9,2.4,36.6,2.3,6.5,35.1,0.6,0.8,76.9,0.6,2.8,3.5,0.1,0.6,0.9,1.7,6.4
joe young,,GeVi Napoli Basket,Play,184,21.3,3.0,0.3,1.7,5.7,29.4,1.0,2.3,42.9,0.0,0.0,0.0,1.0,1.7,2.7,0.0,0.0,1.7,2.7,3.3
alessandro zanelli,6,NutriBullet Treviso Basket,Play,188,22.5,2.1,1.8,1.0,2.1,48.6,1.2,3.3,37.5,1.1,1.3,86.4,0.2,2.2,2.4,0.1,0.2,1.5,1.7,6.7
lorenzo zangheri,11,Dolomiti Energia Trentino,,0,2.0,3.3,6.0,0.3,1.7,4.7,1.3,2.0,1.7,3.7,0.0,0.7,3.0,1.3,1.7,11.0,0.773,0.0,0.0,0.0
simone zanotti,41,GeVi Napoli Basket,Ala,208,11.5,1.5,0.5,1.0,1.9,51.5,0.6,2.0,29.4,0.4,0.6,60.0,0.6,2.0,2.6,0.4,0.1,0.5,0.4,3.7
andrea zerini,0,GeVi Napoli Basket,Ala,205,19.2,2.6,0.5,0.9,1.4,66.7,0.6,1.6,35.7,0.5,0.6,80.0,0.7,2.4,3.1,0.8,0.1,0.9,1.2,5.2
wei lun zhao,11,Openjobmetis Varese,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
